id,filename,resolved_path,ground_truth,predicted,video_label,video_confidence,context,claim,total_frames,real_frames,fake_frames,avg_fake_probability,frame_fake_ratio,has_audio,face_ratio,duration_seconds,encoder,suspicious_encoder,generator_detected,generator_keyword,public_context_metadata,has_creation_time,has_device_info,real_score,fake_score
vid_001,vid_real_human_self_008.mp4,data/evaluation/videos/real/vid_real_self_human_008.mp4,REAL,REAL,UNCERTAIN,0.5,personal_human,vid real self human 008,13,0,13,1.0,1.0,True,1.0,12.462033,,False,False,,False,False,False,4,4
vid_002,vid_real_human_self_013.mp4,data/evaluation/videos/real/vid_real_self_human_013.mp4,REAL,REAL,REAL,0.6363636363636364,personal_human,vid real self human 013,32,0,32,1.0,1.0,True,1.0,46.621021,,False,False,,False,False,False,7,4
vid_003,vid_real_nonhuman_self_001.mp4,data/evaluation/videos/real/vid_real_nonhuman_self_001.mp4,REAL,REAL,REAL,0.5714285714285714,fictional_or_animated,vid real nonhuman self 001,4,3,1,0.301,0.25,False,0.0,3.733333,,False,False,,False,True,False,4,3
vid_004,vid_real_nonhuman_self_002.mp4,data/evaluation/videos/real/vid_real_nonhuman_self_002.mp4,REAL,REAL,REAL,0.8571428571428571,fictional_or_animated,vid real nonhuman self 002,11,11,0,0.0,0.0,True,0.18,10.922467,,False,False,,False,True,False,6,1
vid_005,vid_real_nonhuman_self_003.mp4,data/evaluation/videos/real/vid_real_nonhuman_self_003.mp4,REAL,REAL,REAL,1.0,public_human_content,vid real nonhuman self 003,19,18,1,0.063,0.053,True,0.42,18.540167,,False,False,,False,True,False,7,0
vid_006,vid_real_human_youtube_004.mp4,data/evaluation/videos/real/vid_real_youtube_human_004.mp4,REAL,REAL,REAL,0.7777777777777778,personal_human,vid real youtube human 004,32,13,19,0.567,0.594,True,0.81,227.2,Lavf62.3.100,False,False,,False,False,False,7,2
vid_007,vid_real_human_youtube_005.mp4,data/evaluation/videos/real/vid_real_youtube_human_005.mp4,REAL,REAL,REAL,1.0,public_human_content,vid real youtube human 005,32,22,10,0.342,0.312,True,0.47,173.44,Lavf62.3.100,False,False,,False,False,False,7,0
vid_008,vid_real_human_youtube_006.mp4,data/evaluation/videos/real/vid_real_youtube_human_006.mp4,REAL,REAL,REAL,0.6,personal_human,vid real youtube human 006,32,5,27,0.808,0.844,True,0.81,419.666667,Lavf62.3.100,False,False,,False,False,False,6,4
vid_009,vid_real_human_youtube_007.mp4,data/evaluation/videos/real/vid_real_youtube_human_007.mp4,REAL,REAL,REAL,1.0,personal_human,vid real youtube human 007,32,32,0,0.092,0.0,True,0.84,249.716133,Lavf62.3.100,False,False,,False,False,False,10,0
vid_010,vid_real_human_youtube_010.mp4,data/evaluation/videos/real/vid_real_youtube_human_010.mp4,REAL,REAL,REAL,0.5555555555555556,public_human_content,vid real youtube human 010,32,1,31,0.956,0.969,True,0.72,291.041667,Lavf62.3.100,False,False,,False,False,False,5,4
vid_011,vid_real_human_youtube_011.mp4,data/evaluation/videos/real/vid_real_youtube_human_011.mp4,REAL,REAL,UNCERTAIN,0.5,public_event_or_unknown,vid real youtube human 011,32,2,30,0.935,0.938,True,0.22,41.933333,Lavf62.3.100,False,False,,False,False,False,4,4
vid_012,vid_real_human_youtube_012.mp4,data/evaluation/videos/real/vid_real_youtube_human_012.mp4,REAL,REAL,REAL,0.5555555555555556,public_human_content,vid real youtube human 012,32,5,27,0.781,0.844,True,0.53,52.333333,Lavf62.3.100,False,False,,False,False,False,5,4
