id,path,label
img_002,data/evaluation/images/real/img_real_human_google_001.jpeg,REAL
img_003,data/evaluation/images/real/img_real_human_google_004.jpeg,REAL
img_004,data/evaluation/images/real/img_real_human_google_016.jpeg,REAL
img_005,data/evaluation/images/real/img_real_human_google_017.jpeg,REAL
img_006,data/evaluation/images/real/img_real_human_google_020.jpeg,REAL
img_007,data/evaluation/images/real/img_real_human_google_021.jpeg,REAL
img_008,data/evaluation/images/real/img_real_human_google_025.jpeg,REAL
img_009,data/evaluation/images/real/img_real_human_internet_009.jpeg,REAL
img_010,data/evaluation/images/real/img_real_human_self_005.jpg,REAL
img_011,data/evaluation/images/real/img_real_human_self_007.jpg,REAL
img_012,data/evaluation/images/real/img_real_human_self_012.jpg,REAL
img_013,data/evaluation/images/real/img_real_human_self_013.jpg,REAL
img_014,data/evaluation/images/real/img_real_human_self_023.jpeg,REAL
img_015,data/evaluation/images/real/img_real_nonhuman_google_006.jpeg,REAL
img_016,data/evaluation/images/real/img_real_nonhuman_google_008.jpeg,REAL
img_017,data/evaluation/images/real/img_real_nonhuman_google_010.jpeg,REAL
img_018,data/evaluation/images/real/img_real_nonhuman_google_018.jpeg,REAL
img_019,data/evaluation/images/real/img_real_nonhuman_google_019.jpeg,REAL
img_020,data/evaluation/images/real/img_real_nonhuman_self_002.jpg,REAL
img_021,data/evaluation/images/real/img_real_nonhuman_self_003.jpg,REAL
img_022,data/evaluation/images/real/img_real_nonhuman_self_011.jpg,REAL
img_023,data/evaluation/images/real/img_real_nonhuman_self_014.jpg,REAL
img_024,data/evaluation/images/real/img_real_nonhuman_self_015.jpg,REAL
img_025,data/evaluation/images/real/img_real_nonhuman_self_022.jpeg,REAL
img_026,data/evaluation/images/real/img_real_nonhuman_self_024.jpeg,REAL
img_026,data/evaluation/images/fake/img_fake_human_picsart_024.jpeg,FAKE
img_027,data/evaluation/images/fake/img_fake_human_DeepDream_004.jpeg,FAKE
img_028,data/evaluation/images/fake/img_fake_human_Leonardo_006.jpeg,FAKE
img_029,data/evaluation/images/fake/img_fake_human_Midjourney_007.jpeg,FAKE
img_030,data/evaluation/images/fake/img_fake_human_OpenArt_008.jpeg,FAKE
img_031,data/evaluation/images/fake/img_fake_human_artbreeder_002.jpeg,FAKE
img_032,data/evaluation/images/fake/img_fake_human_craiyon_003.jpeg,FAKE
img_033,data/evaluation/images/fake/img_fake_human_firefly_001.jpeg,FAKE
img_034,data/evaluation/images/fake/img_fake_human_firefly_005.jpeg,FAKE
img_035,data/evaluation/images/fake/img_fake_human_fotor_011.jpeg,FAKE
img_036,data/evaluation/images/fake/img_fake_human_gemini_012.jpeg,FAKE
img_037,data/evaluation/images/fake/img_fake_human_gemini_013.jpeg,FAKE
img_038,data/evaluation/images/fake/img_fake_human_gemini_014.jpeg,FAKE
img_039,data/evaluation/images/fake/img_fake_human_gemini_015.jpeg,FAKE
img_040,data/evaluation/images/fake/img_fake_human_gemini_019.jpeg,FAKE
img_041,data/evaluation/images/fake/img_fake_human_gemini_022.jpeg,FAKE
img_042,data/evaluation/images/fake/img_fake_human_gpt_016.jpeg,FAKE
img_043,data/evaluation/images/fake/img_fake_human_gpt_017.jpeg,FAKE
img_044,data/evaluation/images/fake/img_fake_human_gpt_018.jpeg,FAKE
img_045,data/evaluation/images/fake/img_fake_human_gpt_021.jpeg,FAKE
img_046,data/evaluation/images/fake/img_fake_human_photoroom_025.jpeg,FAKE
img_047,data/evaluation/images/fake/img_fake_human_runway_020.jpeg,FAKE
img_048,data/evaluation/images/fake/img_fake_human_stableDiffusion_009.jpeg,FAKE
img_049,data/evaluation/images/fake/img_fake_non-human_gpt_023.jpeg,FAKE
img_050,data/evaluation/images/fake/img_fake_non-human_nightcafe_010.jpeg,FAKE
