id,path,ground_truth,base_label,base_confidence,base_fake_probability,predicted,predicted_confidence,calibrated_fake_probability
img_002,data/evaluation/images/real/img_real_human_google_001.jpeg,REAL,FAKE,0.9725760221481323,0.9725760221481323,REAL,0.7299999892711639,0.27000001072883606
img_003,data/evaluation/images/real/img_real_human_google_004.jpeg,REAL,FAKE,0.7908536195755005,0.7908536195755005,REAL,0.5766666531562805,0.4233333468437195
img_004,data/evaluation/images/real/img_real_human_google_016.jpeg,REAL,REAL,0.9999934434890747,6.593884791072924e-06,REAL,0.75,0.25
img_005,data/evaluation/images/real/img_real_human_google_017.jpeg,REAL,REAL,0.9999988079071045,1.195196773551288e-06,REAL,0.8199999928474426,0.18000000715255737
img_006,data/evaluation/images/real/img_real_human_google_020.jpeg,REAL,REAL,0.9999996423721313,3.2473622013640124e-07,REAL,0.9299999997019768,0.07000000029802322
img_007,data/evaluation/images/real/img_real_human_google_021.jpeg,REAL,REAL,0.9983251690864563,0.001674820901826024,REAL,0.8966666683554649,0.10333333164453506
img_008,data/evaluation/images/real/img_real_human_google_025.jpeg,REAL,REAL,0.9999946355819702,5.3840367399971e-06,REAL,0.723333328962326,0.27666667103767395
img_009,data/evaluation/images/real/img_real_human_internet_009.jpeg,REAL,REAL,0.9999998807907104,8.248023419810124e-08,REAL,0.6800000071525574,0.3199999928474426
img_010,data/evaluation/images/real/img_real_human_self_005.jpg,REAL,REAL,0.9554811716079712,0.04451882094144821,FAKE,0.6033333539962769,0.6033333539962769
img_011,data/evaluation/images/real/img_real_human_self_007.jpg,REAL,FAKE,0.9998102784156799,0.9998102784156799,REAL,0.6666666567325592,0.3333333432674408
img_012,data/evaluation/images/real/img_real_human_self_012.jpg,REAL,REAL,0.9999195337295532,8.040664397412911e-05,REAL,0.8100000023841858,0.1899999976158142
img_013,data/evaluation/images/real/img_real_human_self_013.jpg,REAL,REAL,0.9999986886978149,1.3020156757193035e-06,REAL,0.6866666674613953,0.31333333253860474
img_014,data/evaluation/images/real/img_real_human_self_023.jpeg,REAL,FAKE,0.9834886193275452,0.9834886193275452,FAKE,0.753333330154419,0.753333330154419
img_015,data/evaluation/images/real/img_real_nonhuman_google_006.jpeg,REAL,REAL,1.0,9.01551633347708e-09,REAL,0.9200000017881393,0.07999999821186066
img_016,data/evaluation/images/real/img_real_nonhuman_google_008.jpeg,REAL,REAL,0.999994158744812,5.811300525238039e-06,REAL,0.9099999964237213,0.09000000357627869
img_017,data/evaluation/images/real/img_real_nonhuman_google_010.jpeg,REAL,REAL,0.9996923208236694,0.0003077486762776971,REAL,0.8499999940395355,0.15000000596046448
img_018,data/evaluation/images/real/img_real_nonhuman_google_018.jpeg,REAL,REAL,0.9996746778488159,0.0003253582981415093,REAL,0.7999999970197678,0.20000000298023224
